,STATE/UT,YEAR,RESIDENTIAL PREMISES - Dacoity,RESIDENTIAL PREMISES - Robbery,RESIDENTIAL PREMISES - Burglary,RESIDENTIAL PREMISES - Theft,HIGHWAYS - Dacoity,HIGHWAYS - Robbery,HIGHWAYS - Burglary,HIGHWAYS - Theft,RIVER and SEA - Dacoity,RIVER and SEA - Robbery,RIVER and SEA - Burglary,RIVER and SEA - Theft,RAILWAYS - Dacoity,RAILWAYS - Robbery,RAILWAYS - Burglary,RAILWAYS - Theft,BANKS - Dacoity,BANKS - Robbery,BANKS - Burglary,BANKS - Theft,COMMERCIAL ESTABLISHMENTS - Dacoity,COMMERCIAL ESTABLISHMENTS - Robbery,COMMERCIAL ESTABLISHMENTS - Burglary,COMMERCIAL ESTABLISHMENTS - Theft,OTHER PLACES - Dacoity,OTHER PLACES - Robbery,OTHER PLACES - Burglary,OTHER PLACES - Theft,TOTAL - Dacoity,TOTAL - Robbery,TOTAL - Burglary,TOTAL - Theft
170,ODISHA,2005.0,86.0,197.0,1926.0,1700.0,37.0,347.0,0.0,74.0,0.0,2.0,0.0,0.0,1.0,147.0,13.0,404.0,5.0,9.0,82.0,0.0,24.0,157.0,527.0,1576.0,31.0,139.0,481.0,2989.0,184.0,998.0,3029.0,6743
171,PUNJAB,2005.0,6.0,34.0,1048.0,716.0,1.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,1.0,4.0,28.0,1.0,0.0,11.0,483.0,374.0,18.0,35.0,374.0,1772.0,27.0,85.0,1933.0,2924
172,RAJASTHAN,2005.0,2.0,13.0,3058.0,2355.0,8.0,35.0,0.0,63.0,0.0,0.0,0.0,6.0,1.0,4.0,0.0,459.0,0.0,4.0,33.0,0.0,4.0,6.0,1247.0,1528.0,26.0,528.0,889.0,13487.0,41.0,590.0,5227.0,17898
173,SIKKIM,2005.0,2.0,3.0,47.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,1.0,23.0,51.0,2.0,4.0,85.0,81
174,TAMIL NADU,2005.0,26.0,114.0,2353.0,4179.0,17.0,26.0,1.0,115.0,0.0,0.0,0.0,6.0,1.0,3.0,5.0,169.0,0.0,0.0,17.0,4.0,1.0,27.0,451.0,1995.0,28.0,267.0,911.0,9383.0,73.0,437.0,3738.0,15851
175,TRIPURA,2005.0,17.0,36.0,110.0,184.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,41.0,61.0,5.0,19.0,19.0,80.0,22.0,61.0,170.0,325
176,UTTAR PRADESH,2005.0,129.0,197.0,3067.0,4338.0,55.0,1034.0,0.0,4129.0,0.0,0.0,0.0,0.0,10.0,32.0,4.0,1108.0,1.0,11.0,1.0,1.0,11.0,21.0,299.0,904.0,80.0,754.0,1185.0,10215.0,286.0,2049.0,4556.0,20695
177,UTTARAKHAND,2005.0,22.0,39.0,349.0,682.0,11.0,57.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,115.0,108.0,11.0,60.0,57.0,806.0,48.0,159.0,521.0,1630
178,WEST BENGAL,2005.0,90.0,100.0,306.0,7671.0,20.0,47.0,1.0,110.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,676.0,7.0,2.0,4.0,0.0,30.0,39.0,53.0,1031.0,60.0,231.0,375.0,2636.0,211.0,426.0,739.0,12124
179,TOTAL (STATES),2005.0,2254.0,2676.0,56362.0,69304.0,837.0,4077.0,94.0,6892.0,1.0,13.0,0.0,101.0,115.0,460.0,72.0,11428.0,72.0,85.0,394.0,114.0,330.0,922.0,13835.0,25224.0,1497.0,8907.0,16836.0,140031.0,5106.0,17140.0,87593.0,253094
180,A & N ISLANDS,2005.0,0.0,1.0,68.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,3.0,0.0,41.0,0.0,4.0,68.0,92
181,CHANDIGARH,2005.0,0.0,0.0,134.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,86.0,173.0,0.0,12.0,0.0,984.0,0.0,12.0,223.0,1373
182,D & N HAVELI,2005.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,29.0,1.0,2.0,3.0,28.0,3.0,2.0,25.0,74
183,DAMAN & DIU,2005.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,4.0,0.0,5.0,37.0,4.0,0.0,37.0,50
184,DELHI,2005.0,12.0,91.0,1485.0,1453.0,0.0,1.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,648.0,1.0,0.0,0.0,0.0,6.0,38.0,394.0,333.0,8.0,371.0,214.0,15388.0,27.0,510.0,2093.0,17955
185,LAKSHADWEEP,2005.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,7
186,PUDUCHERRY,2005.0,1.0,1.0,38.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,38.0,0.0,4.0,14.0,344.0,1.0,5.0,67.0,466
187,TOTAL (UTs),2005.0,13.0,93.0,1756.0,1789.0,0.0,1.0,0.0,133.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,648.0,1.0,0.0,4.0,0.0,8.0,38.0,519.0,617.0,13.0,392.0,236.0,16829.0,35.0,533.0,2515.0,20017
188,TOTAL (ALL-INDIA),2005.0,2267.0,2769.0,58118.0,71093.0,837.0,4078.0,94.0,7025.0,1.0,13.0,0.0,102.0,115.0,469.0,72.0,12076.0,73.0,85.0,398.0,114.0,338.0,960.0,14354.0,25841.0,1510.0,9299.0,17072.0,156860.0,5141.0,17673.0,90108.0,273111
189,ANDHRA PRADESH,2006.0,77.0,223.0,6191.0,9766.0,42.0,101.0,50.0,330.0,0.0,3.0,0.0,18.0,7.0,15.0,0.0,621.0,0.0,0.0,24.0,3.0,10.0,32.0,1124.0,2970.0,42.0,305.0,915.0,9802.0,178.0,679.0,8304.0,23510
190,ARUNACHAL PRADESH,2006.0,15.0,30.0,113.0,193.0,3.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,12.0,54.0,67.0,7.0,20.0,89.0,181.0,28.0,74.0,257.0,451
191,ASSAM,2006.0,208.0,195.0,1690.0,3645.0,36.0,91.0,42.0,95.0,1.0,3.0,0.0,2.0,6.0,4.0,57.0,603.0,5.0,13.0,0.0,1.0,15.0,70.0,415.0,975.0,48.0,168.0,707.0,2499.0,319.0,544.0,2911.0,7820
192,BIHAR,2006.0,688.0,240.0,2759.0,5640.0,109.0,1024.0,147.0,650.0,0.0,0.0,0.0,0.0,51.0,72.0,13.0,1351.0,6.0,3.0,2.0,18.0,41.0,63.0,153.0,944.0,106.0,767.0,457.0,3149.0,1001.0,2169.0,3531.0,11752
193,CHHATTISGARH,2006.0,77.0,74.0,2828.0,1343.0,24.0,70.0,20.0,55.0,1.0,0.0,0.0,1.0,1.0,6.0,0.0,237.0,0.0,4.0,10.0,7.0,5.0,4.0,254.0,381.0,52.0,281.0,395.0,3238.0,160.0,439.0,3507.0,5262
194,GOA,2006.0,5.0,4.0,121.0,66.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,75.0,38.0,2.0,8.0,49.0,381.0,7.0,17.0,252.0,494
195,GUJARAT,2006.0,77.0,192.0,3241.0,4060.0,51.0,96.0,26.0,81.0,1.0,0.0,0.0,9.0,4.0,58.0,0.0,813.0,0.0,0.0,29.0,18.0,28.0,103.0,1109.0,2859.0,129.0,521.0,1125.0,10635.0,290.0,970.0,5530.0,18475
196,HARYANA,2006.0,17.0,53.0,2906.0,2206.0,32.0,72.0,5.0,205.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,267.0,2.0,0.0,20.0,7.0,12.0,43.0,799.0,1630.0,38.0,235.0,271.0,6203.0,104.0,410.0,4001.0,10518
197,HIMACHAL PRADESH,2006.0,1.0,2.0,370.0,84.0,2.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,180.0,113.0,4.0,23.0,192.0,601.0,7.0,29.0,754.0,812
198,JAMMU & KASHMIR,2006.0,4.0,30.0,583.0,365.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,12.0,265.0,178.0,6.0,69.0,501.0,1303.0,10.0,112.0,1351.0,1937
199,JHARKHAND,2006.0,223.0,165.0,1208.0,2624.0,171.0,337.0,24.0,65.0,0.0,0.0,0.0,0.0,34.0,70.0,0.0,351.0,9.0,4.0,1.0,6.0,24.0,40.0,90.0,648.0,75.0,163.0,105.0,2479.0,536.0,779.0,1428.0,6173
200,KARNATAKA,2006.0,63.0,217.0,4126.0,3429.0,14.0,55.0,14.0,91.0,0.0,0.0,0.0,8.0,3.0,11.0,2.0,407.0,1.0,8.0,37.0,4.0,22.0,89.0,1221.0,1951.0,99.0,969.0,567.0,9011.0,202.0,1349.0,5967.0,14901
201,KERALA,2006.0,32.0,192.0,2281.0,1628.0,13.0,29.0,0.0,76.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0,153.0,2.0,1.0,53.0,2.0,14.0,48.0,782.0,595.0,67.0,415.0,1126.0,2976.0,129.0,691.0,4245.0,5431
202,MADHYA PRADESH,2006.0,66.0,252.0,8299.0,7099.0,23.0,221.0,25.0,332.0,0.0,0.0,6.0,28.0,1.0,34.0,2.0,1402.0,1.0,2.0,17.0,3.0,7.0,47.0,1166.0,1915.0,53.0,1214.0,1445.0,10954.0,151.0,1770.0,10960.0,21733
203,MAHARASHTRA,2006.0,162.0,331.0,9490.0,7735.0,64.0,282.0,78.0,478.0,1.0,0.0,0.0,7.0,16.0,62.0,1.0,2788.0,5.0,9.0,87.0,31.0,82.0,171.0,3471.0,3606.0,333.0,1719.0,2750.0,31828.0,663.0,2574.0,15877.0,46473
204,MANIPUR,2006.0,0.0,0.0,12.0,48.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,7.0,1.0,5.0,7.0,230.0,2.0,8.0,55.0,290
205,MEGHALAYA,2006.0,18.0,17.0,58.0,153.0,21.0,24.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,27.0,17.0,24.0,61.0,251.0,57.0,65.0,140.0,470
206,MIZORAM,2006.0,0.0,0.0,136.0,170.0,0.0,1.0,126.0,144.0,7.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,200.0,0.0,6.0,76.0,239.0,7.0,10.0,422.0,758
207,NAGALAND,2006.0,1.0,14.0,44.0,96.0,7.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,16.0,10.0,37.0,7.0,38.0,16.0,191.0,16.0,84.0,70.0,327
208,ODISHA,2006.0,84.0,176.0,1880.0,1334.0,76.0,498.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,13.0,36.0,409.0,27.0,3.0,23.0,0.0,2.0,103.0,591.0,286.0,48.0,391.0,588.0,4535.0,239.0,1184.0,3120.0,6567
209,PUNJAB,2006.0,12.0,36.0,1206.0,1245.0,1.0,3.0,1.0,49.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,51.0,1.0,9.0,30.0,9.0,7.0,21.0,452.0,486.0,14.0,72.0,588.0,2104.0,35.0,142.0,2277.0,3946
210,RAJASTHAN,2006.0,5.0,26.0,2949.0,2590.0,9.0,56.0,0.0,130.0,0.0,0.0,0.0,7.0,1.0,7.0,0.0,412.0,0.0,2.0,21.0,0.0,2.0,18.0,1128.0,1480.0,20.0,522.0,987.0,13270.0,37.0,631.0,5085.0,17889
211,SIKKIM,2006.0,0.0,2.0,55.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,0.0,7.0,16.0,47.0,0.0,9.0,84.0,113
212,TAMIL NADU,2006.0,32.0,188.0,2230.0,3224.0,11.0,23.0,2.0,111.0,0.0,0.0,0.0,10.0,1.0,3.0,2.0,155.0,0.0,1.0,7.0,4.0,6.0,23.0,454.0,1676.0,45.0,212.0,605.0,8471.0,95.0,450.0,3300.0,13651
213,TRIPURA,2006.0,8.0,25.0,101.0,210.0,3.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,42.0,68.0,4.0,38.0,39.0,109.0,18.0,71.0,182.0,392
214,UTTAR PRADESH,2006.0,95.0,131.0,3138.0,4869.0,42.0,864.0,0.0,6037.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,761.0,3.0,6.0,0.0,0.0,6.0,11.0,280.0,640.0,67.0,990.0,1159.0,8140.0,218.0,2024.0,4577.0,20447
215,UTTARAKHAND,2006.0,22.0,24.0,349.0,450.0,2.0,36.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,0.0,0.0,5.0,52.0,109.0,7.0,91.0,69.0,1054.0,31.0,157.0,470.0,1696
216,WEST BENGAL,2006.0,55.0,47.0,273.0,5664.0,19.0,60.0,1.0,32.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,1021.0,10.0,2.0,4.0,7.0,28.0,36.0,29.0,1679.0,58.0,266.0,294.0,4129.0,177.0,426.0,601.0,12532
217,TOTAL (STATES),2006.0,2047.0,2886.0,58637.0,69993.0,776.0,3985.0,563.0,9151.0,12.0,10.0,6.0,99.0,142.0,405.0,116.0,11871.0,72.0,69.0,387.0,122.0,319.0,973.0,14350.0,25574.0,1349.0,9539.0,15199.0,138010.0,4717.0,17867.0,89258.0,254820
218,A & N ISLANDS,2006.0,0.0,0.0,50.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,7.0,0.0,5.0,20.0,62.0,0.0,5.0,82.0,101
219,CHANDIGARH,2006.0,0.0,2.0,107.0,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,72.0,378.0,0.0,28.0,10.0,367.0,1.0,34.0,189.0,1234
220,D & N HAVELI,2006.0,2.0,4.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,7.0,2.0,1.0,10.0,36.0,5.0,5.0,41.0,61
221,DAMAN & DIU,2006.0,3.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,14.0,4.0,0.0,7.0,47.0,8.0,1.0,60.0,63
222,DELHI,2006.0,4.0,60.0,1096.0,4383.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,947.0,0.0,1.0,6.0,2.0,5.0,29.0,216.0,653.0,5.0,447.0,632.0,11513.0,14.0,541.0,1950.0,17498
223,LAKSHADWEEP,2006.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,17
224,PUDUCHERRY,2006.0,2.0,1.0,50.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,42.0,0.0,1.0,7.0,440.0,2.0,3.0,84.0,560
225,TOTAL (UTs),2006.0,11.0,67.0,1344.0,4996.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,947.0,1.0,1.0,6.0,4.0,7.0,35.0,372.0,1101.0,11.0,482.0,686.0,12469.0,30.0,589.0,2408.0,19534
226,TOTAL (ALL-INDIA),2006.0,2058.0,2953.0,59981.0,74989.0,776.0,3987.0,563.0,9151.0,12.0,10.0,6.0,116.0,142.0,407.0,116.0,12818.0,73.0,70.0,393.0,126.0,326.0,1008.0,14722.0,26675.0,1360.0,10021.0,15885.0,150479.0,4747.0,18456.0,91666.0,274354
227,ANDHRA PRADESH,2007.0,53.0,221.0,5208.0,9117.0,35.0,101.0,31.0,133.0,0.0,0.0,0.0,42.0,3.0,12.0,0.0,751.0,0.0,4.0,17.0,26.0,2.0,19.0,1085.0,2395.0,77.0,257.0,1336.0,11927.0,170.0,614.0,7677.0,24391
228,ARUNACHAL PRADESH,2007.0,5.0,30.0,110.0,232.0,2.0,6.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,65.0,82.0,8.0,21.0,65.0,176.0,16.0,75.0,240.0,513
229,ASSAM,2007.0,182.0,140.0,1253.0,3233.0,38.0,64.0,157.0,385.0,1.0,3.0,11.0,2.0,3.0,13.0,5.0,72.0,0.0,0.0,0.0,34.0,19.0,76.0,395.0,930.0,56.0,200.0,782.0,3098.0,299.0,496.0,2603.0,7754
230,BIHAR,2007.0,422.0,282.0,2671.0,5629.0,117.0,890.0,2.0,403.0,1.0,0.0,0.0,1.0,35.0,45.0,10.0,1164.0,14.0,9.0,1.0,13.0,28.0,47.0,196.0,1144.0,69.0,514.0,379.0,3441.0,686.0,1787.0,3259.0,11795
231,CHHATTISGARH,2007.0,59.0,42.0,2853.0,1254.0,15.0,61.0,5.0,26.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,201.0,1.0,10.0,6.0,7.0,3.0,9.0,265.0,571.0,34.0,301.0,503.0,3321.0,115.0,427.0,3632.0,5381
232,GOA,2007.0,2.0,1.0,144.0,66.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,1.0,2.0,3.0,69.0,46.0,1.0,16.0,69.0,369.0,7.0,22.0,292.0,494
233,GUJARAT,2007.0,75.0,178.0,2956.0,4161.0,37.0,68.0,8.0,79.0,0.0,1.0,0.0,12.0,8.0,35.0,0.0,738.0,4.0,1.0,26.0,26.0,21.0,48.0,909.0,2652.0,100.0,764.0,971.0,10496.0,245.0,1095.0,4870.0,18164
234,HARYANA,2007.0,10.0,49.0,2921.0,1600.0,31.0,83.0,9.0,186.0,0.0,0.0,0.0,0.0,3.0,18.0,1.0,427.0,1.0,6.0,16.0,1.0,4.0,34.0,920.0,1707.0,90.0,312.0,364.0,7126.0,139.0,502.0,4231.0,11047
235,HIMACHAL PRADESH,2007.0,0.0,3.0,422.0,93.0,0.0,6.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,1.0,192.0,51.0,2.0,13.0,258.0,904.0,5.0,23.0,877.0,1092
236,JAMMU & KASHMIR,2007.0,11.0,45.0,755.0,368.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,470.0,0.0,5.0,3.0,5.0,0.0,21.0,366.0,172.0,7.0,37.0,331.0,1071.0,18.0,111.0,1460.0,2086
237,JHARKHAND,2007.0,256.0,149.0,1248.0,3050.0,161.0,348.0,1.0,63.0,0.0,0.0,0.0,0.0,23.0,24.0,37.0,417.0,8.0,4.0,1.0,4.0,9.0,44.0,91.0,874.0,67.0,202.0,117.0,2683.0,524.0,771.0,1495.0,7091
238,KARNATAKA,2007.0,51.0,185.0,3788.0,3753.0,22.0,56.0,3.0,110.0,0.0,0.0,0.0,2.0,3.0,21.0,0.0,367.0,1.0,5.0,34.0,19.0,7.0,81.0,1083.0,1934.0,94.0,965.0,541.0,8166.0,178.0,1313.0,5449.0,14351
239,KERALA,2007.0,17.0,172.0,2155.0,1876.0,21.0,30.0,0.0,53.0,1.0,0.0,0.0,2.0,0.0,6.0,1.0,158.0,3.0,0.0,31.0,1.0,8.0,52.0,822.0,425.0,71.0,609.0,1091.0,3094.0,121.0,869.0,4100.0,5609
240,MADHYA PRADESH,2007.0,45.0,119.0,8286.0,6754.0,15.0,238.0,19.0,455.0,0.0,2.0,6.0,27.0,3.0,22.0,2.0,1340.0,0.0,6.0,11.0,8.0,34.0,59.0,1386.0,2165.0,46.0,1529.0,1520.0,11647.0,143.0,1975.0,11230.0,22396
241,MAHARASHTRA,2007.0,127.0,263.0,9624.0,9069.0,79.0,237.0,12.0,447.0,3.0,1.0,0.0,10.0,12.0,68.0,0.0,2924.0,2.0,0.0,64.0,42.0,54.0,141.0,3027.0,3195.0,439.0,2060.0,2880.0,31994.0,716.0,2770.0,15607.0,47681
242,MANIPUR,2007.0,0.0,1.0,15.0,91.0,1.0,6.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,21.0,2.0,4.0,12.0,319.0,3.0,11.0,70.0,454
243,MEGHALAYA,2007.0,10.0,17.0,103.0,145.0,19.0,23.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,44.0,100.0,24.0,14.0,50.0,221.0,55.0,56.0,203.0,500
244,MIZORAM,2007.0,0.0,0.0,300.0,346.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,250.0,0.0,4.0,66.0,211.0,0.0,5.0,457.0,808
245,NAGALAND,2007.0,0.0,20.0,89.0,133.0,7.0,29.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,110.0,0.0,26.0,19.0,102.0,7.0,75.0,118.0,360
246,ODISHA,2007.0,76.0,139.0,1650.0,1864.0,50.0,409.0,131.0,37.0,0.0,0.0,0.0,43.0,2.0,9.0,0.0,291.0,9.0,10.0,12.0,0.0,41.0,103.0,498.0,332.0,69.0,603.0,782.0,4263.0,247.0,1273.0,3073.0,6830
247,PUNJAB,2007.0,6.0,18.0,1160.0,1557.0,3.0,7.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,34.0,2.0,3.0,15.0,132.0,8.0,9.0,661.0,655.0,18.0,101.0,776.0,2756.0,37.0,138.0,2616.0,5173
248,RAJASTHAN,2007.0,6.0,15.0,3105.0,2871.0,6.0,51.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,483.0,0.0,2.0,32.0,0.0,2.0,19.0,1164.0,1743.0,56.0,691.0,863.0,14238.0,71.0,778.0,5164.0,19345
249,SIKKIM,2007.0,0.0,6.0,49.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,0.0,0.0,21.0,22.0,0.0,6.0,83.0,118
250,TAMIL NADU,2007.0,24.0,146.0,2294.0,3312.0,14.0,46.0,1.0,145.0,1.0,0.0,0.0,9.0,2.0,4.0,4.0,144.0,0.0,0.0,23.0,38.0,8.0,26.0,504.0,2098.0,39.0,273.0,891.0,7471.0,88.0,495.0,3717.0,13217
251,TRIPURA,2007.0,2.0,25.0,119.0,215.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,30.0,11.0,33.0,47.0,166.0,14.0,64.0,193.0,411
252,UTTAR PRADESH,2007.0,130.0,167.0,3521.0,3563.0,47.0,792.0,0.0,8244.0,0.0,0.0,0.0,0.0,11.0,27.0,0.0,1279.0,1.0,6.0,1.0,0.0,12.0,77.0,291.0,1182.0,236.0,1100.0,1244.0,8548.0,437.0,2169.0,5057.0,22816
253,UTTARAKHAND,2007.0,20.0,29.0,366.0,894.0,17.0,56.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,2.0,1.0,0.0,0.0,2.0,3.0,77.0,221.0,5.0,83.0,105.0,433.0,46.0,173.0,548.0,1593
254,WEST BENGAL,2007.0,51.0,55.0,214.0,3372.0,8.0,44.0,0.0,48.0,0.0,0.0,0.0,2.0,10.0,13.0,3.0,739.0,8.0,5.0,0.0,1.0,14.0,43.0,21.0,1379.0,55.0,267.0,161.0,8206.0,146.0,427.0,399.0,13747
255,TOTAL (STATES),2007.0,1640.0,2517.0,57379.0,68685.0,748.0,3657.0,386.0,11021.0,7.0,8.0,17.0,166.0,122.0,321.0,71.0,12023.0,56.0,77.0,308.0,360.0,284.0,941.0,14315.0,26493.0,1676.0,10999.0,16244.0,146469.0,4533.0,18520.0,88720.0,265217
256,A & N ISLANDS,2007.0,0.0,0.0,59.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,31.0,5.0,9.0,21.0,58.0,5.0,9.0,90.0,112
257,CHANDIGARH,2007.0,0.0,0.0,55.0,471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,119.0,501.0,2.0,37.0,15.0,768.0,2.0,37.0,191.0,1740
258,D & N HAVELI,2007.0,0.0,0.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,1.0,3.0,13.0,27.0,1.0,3.0,28.0,87
259,DAMAN & DIU,2007.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.0,3.0,2.0,1.0,1.0,31.0,3.0,2.0,46.0,43
260,DELHI,2007.0,10.0,45.0,1433.0,4113.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,739.0,0.0,0.0,0.0,5.0,3.0,30.0,287.0,1078.0,20.0,474.0,334.0,11102.0,34.0,557.0,2055.0,17037
261,LAKSHADWEEP,2007.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20
