,STATE/UT,YEAR,RESIDENTIAL PREMISES - Dacoity,RESIDENTIAL PREMISES - Robbery,RESIDENTIAL PREMISES - Burglary,RESIDENTIAL PREMISES - Theft,HIGHWAYS - Dacoity,HIGHWAYS - Robbery,HIGHWAYS - Burglary,HIGHWAYS - Theft,RIVER and SEA - Dacoity,RIVER and SEA - Robbery,RIVER and SEA - Burglary,RIVER and SEA - Theft,RAILWAYS - Dacoity,RAILWAYS - Robbery,RAILWAYS - Burglary,RAILWAYS - Theft,BANKS - Dacoity,BANKS - Robbery,BANKS - Burglary,BANKS - Theft,COMMERCIAL ESTABLISHMENTS - Dacoity,COMMERCIAL ESTABLISHMENTS - Robbery,COMMERCIAL ESTABLISHMENTS - Burglary,COMMERCIAL ESTABLISHMENTS - Theft,OTHER PLACES - Dacoity,OTHER PLACES - Robbery,OTHER PLACES - Burglary,OTHER PLACES - Theft,TOTAL - Dacoity,TOTAL - Robbery,TOTAL - Burglary,TOTAL - Theft
28,TOTAL (STATES),2001.0,2911.0,3681.0,66150.0,65888.0,1058.0,4957.0,177.0,8922.0,7.0,23.0,102.0,205.0,135.0,399.0,285.0,13828.0,57.0,82.0,540.0,605.0,340.0,1071.0,13503.0,23775.0,1592.0,9032.0,16779.0,118087.0,6100.0,19245.0,97536.0,231310
29,A & N ISLANDS,2001.0,0.0,0.0,47.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,4.0,10.0,40.0,0.0,4.0,64.0,65
30,CHANDIGARH,2001.0,2.0,3.0,239.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,79.0,74.0,2.0,18.0,44.0,821.0,5.0,22.0,364.0,1529
31,D & N HAVELI,2001.0,0.0,0.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,0.0,2.0,3.0,10.0,0.0,2.0,34.0,45
32,DAMAN & DIU,2001.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,6.0,0.0,0.0,2.0,30.0,0.0,0.0,43.0,40
33,DELHI,2001.0,27.0,105.0,2175.0,2776.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,2.0,1430.0,0.0,0.0,0.0,0.0,5.0,58.0,624.0,1402.0,12.0,420.0,228.0,13668.0,48.0,624.0,3029.0,19276
34,LAKSHADWEEP,2001.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,10
35,PUDUCHERRY,2001.0,1.0,2.0,66.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,37.0,0.0,2.0,18.0,288.0,1.0,4.0,111.0,528
36,TOTAL (UTs),2001.0,30.0,110.0,2566.0,3663.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,11.0,2.0,1430.0,0.0,0.0,3.0,0.0,6.0,59.0,770.0,1535.0,14.0,446.0,305.0,14861.0,54.0,656.0,3646.0,21493
37,TOTAL (ALL-INDIA),2001.0,2941.0,3791.0,68716.0,69551.0,1061.0,4987.0,177.0,8922.0,7.0,23.0,102.0,209.0,136.0,410.0,287.0,15258.0,57.0,82.0,543.0,605.0,346.0,1130.0,14273.0,25310.0,1606.0,9478.0,17084.0,132948.0,6154.0,19901.0,101182.0,252803
38,ANDHRA PRADESH,2002.0,110.0,230.0,5904.0,6129.0,36.0,164.0,11.0,204.0,0.0,0.0,0.0,0.0,3.0,16.0,9.0,1123.0,1.0,1.0,27.0,23.0,1.0,19.0,1083.0,2911.0,46.0,218.0,594.0,8832.0,197.0,648.0,7628.0,19222
39,ARUNACHAL PRADESH,2002.0,18.0,75.0,195.0,297.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,34.0,40.0,2.0,6.0,20.0,55.0,22.0,96.0,249.0,395
40,ASSAM,2002.0,312.0,271.0,1635.0,3108.0,49.0,81.0,0.0,64.0,2.0,0.0,2.0,4.0,3.0,11.0,88.0,185.0,3.0,1.0,0.0,5.0,48.0,88.0,475.0,727.0,56.0,155.0,304.0,1462.0,473.0,607.0,2504.0,5555
41,BIHAR,2002.0,833.0,436.0,2434.0,4850.0,149.0,964.0,0.0,252.0,0.0,0.0,0.0,0.0,58.0,55.0,9.0,1270.0,15.0,10.0,0.0,6.0,36.0,94.0,269.0,785.0,198.0,729.0,476.0,2982.0,1289.0,2288.0,3188.0,10145
42,CHHATTISGARH,2002.0,56.0,60.0,2707.0,1121.0,6.0,51.0,234.0,62.0,1.0,0.0,0.0,1.0,22.0,4.0,6.0,191.0,11.0,11.0,6.0,254.0,28.0,33.0,511.0,492.0,20.0,167.0,267.0,2181.0,144.0,326.0,3731.0,4302
43,GOA,2002.0,4.0,2.0,187.0,64.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,1.0,4.0,1.0,0.0,3.0,130.0,76.0,1.0,16.0,55.0,329.0,5.0,24.0,376.0,496
44,GUJARAT,2002.0,283.0,231.0,3350.0,3388.0,75.0,134.0,1.0,150.0,0.0,0.0,0.0,4.0,4.0,61.0,26.0,342.0,0.0,3.0,30.0,6.0,127.0,90.0,976.0,1352.0,315.0,579.0,944.0,10500.0,804.0,1098.0,5327.0,15742
45,HARYANA,2002.0,21.0,55.0,2009.0,2394.0,10.0,51.0,11.0,95.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,203.0,1.0,2.0,26.0,0.0,3.0,42.0,589.0,824.0,25.0,177.0,411.0,2445.0,61.0,330.0,3048.0,5962
46,HIMACHAL PRADESH,2002.0,0.0,3.0,308.0,71.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,3.0,191.0,44.0,0.0,8.0,205.0,438.0,0.0,18.0,710.0,564
47,JAMMU & KASHMIR,2002.0,30.0,54.0,832.0,593.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,0.0,4.0,8.0,278.0,248.0,4.0,90.0,200.0,1174.0,42.0,163.0,1321.0,2020
48,JHARKHAND,2002.0,285.0,367.0,1290.0,1937.0,208.0,230.0,0.0,214.0,0.0,0.0,0.0,0.0,27.0,33.0,0.0,242.0,8.0,18.0,1.0,0.0,10.0,17.0,59.0,393.0,42.0,115.0,69.0,1588.0,580.0,780.0,1419.0,4374
49,KARNATAKA,2002.0,84.0,234.0,4405.0,4113.0,22.0,28.0,37.0,56.0,1.0,0.0,0.0,1.0,4.0,15.0,5.0,382.0,0.0,2.0,46.0,4.0,10.0,31.0,1342.0,1599.0,57.0,662.0,645.0,7663.0,178.0,972.0,6480.0,13818
50,KERALA,2002.0,22.0,126.0,2600.0,1594.0,7.0,37.0,0.0,120.0,2.0,0.0,0.0,10.0,0.0,1.0,1.0,304.0,0.0,3.0,18.0,5.0,27.0,35.0,649.0,299.0,79.0,408.0,1356.0,3411.0,137.0,610.0,4624.0,5743
51,MADHYA PRADESH,2002.0,53.0,140.0,10043.0,7756.0,23.0,257.0,20.0,479.0,0.0,7.0,0.0,17.0,1.0,48.0,7.0,1299.0,0.0,1.0,14.0,7.0,3.0,51.0,1070.0,1468.0,56.0,1325.0,2190.0,9733.0,136.0,1829.0,13344.0,20759
52,MAHARASHTRA,2002.0,154.0,419.0,9525.0,6754.0,91.0,264.0,0.0,508.0,0.0,1.0,0.0,2.0,9.0,46.0,3.0,2930.0,6.0,9.0,197.0,136.0,63.0,159.0,2532.0,2693.0,225.0,1238.0,2214.0,24583.0,548.0,2136.0,14471.0,37606
53,MANIPUR,2002.0,3.0,1.0,22.0,38.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,96.0,0.0,0.0,7.0,114.0,3.0,6.0,44.0,255
54,MEGHALAYA,2002.0,14.0,13.0,59.0,166.0,29.0,38.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,10.0,15.0,20.0,51.0,85.0,199.0,64.0,109.0,154.0,392
55,MIZORAM,2002.0,1.0,2.0,196.0,397.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,244.0,1.0,3.0,65.0,355.0,5.0,7.0,446.0,999
56,NAGALAND,2002.0,10.0,25.0,47.0,111.0,3.0,44.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,39.0,38.0,4.0,32.0,41.0,98.0,21.0,110.0,128.0,257
