,DISTRICT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Criminal Trespass/Burglary,Crime Index
815,KANNUR,22,35,6,59,0,59,15,6,9,1,0,83,0.0,149,68,81,745,11,190,3,86,65,1,222,10,330,0,183,2549,6716,185.0,0.000121711735256
816,KANPUR DEHAT,46,28,20,20,0,20,157,151,4,1,0,24,0.0,121,58,63,40,24,68,0,12,140,35,95,0,144,0,224,608,2111,22.0,7.874866762308474e-05
817,KANPUR NAGAR,137,89,33,78,0,78,442,137,302,3,2,139,0.0,1536,1136,400,233,189,546,6,3,238,73,261,1,594,0,532,2446,8641,250.0,0.0004863021492416
818,KANYAKUMARI,41,108,1,7,0,7,17,13,4,0,8,75,0.0,266,60,206,0,0,144,5,40,8,2,3,0,56,0,256,1822,4041,195.0,7.743591633951592e-05
819,KAPURTHALA,21,29,6,29,0,29,40,21,14,2,3,10,0.0,132,33,99,0,3,103,0,2,190,3,33,1,58,0,109,176,1105,98.0,4.91625355696524e-05
820,KARAIKAL,6,1,0,3,0,3,1,0,0,1,1,1,0.0,33,11,22,5,1,4,0,0,8,0,12,1,1,0,44,322,671,18.0,8.434426996929684e-06
821,KARAULI,34,30,1,49,0,49,130,0,130,1,6,16,0.0,702,461,241,2,9,233,2,18,0,14,104,0,214,0,84,2403,4612,45.0,0.0001872574068446
822,KARBI ANGLONG,38,25,11,23,0,23,78,55,12,3,0,10,0.0,181,40,141,6,10,29,2,0,95,0,26,0,42,0,74,171,960,2.0,6.22112833283265e-05
823,KARGIL,1,0,0,2,0,2,2,2,0,0,0,0,0.0,3,0,3,11,0,0,0,0,2,0,0,0,0,0,17,14,105,3.0,2.336697284752504e-06
824,KARIMGANJ,33,42,0,75,0,75,119,109,10,14,8,8,0.0,199,32,167,57,25,82,2,29,209,13,10,0,337,0,15,917,2827,220.0,9.513508552023255e-05
825,KARIMNAGAR,109,136,14,66,0,66,106,43,23,5,0,36,0.0,735,245,490,87,108,813,6,38,187,34,373,70,737,0,543,3845,9382,377.0,0.0002517889780667
826,KARNAL,53,33,3,100,0,100,379,47,329,6,0,24,0.0,976,693,283,21,12,172,0,10,260,17,95,3,223,0,269,626,4047,367.0,0.0002955725152519
827,KARUR,20,20,0,1,0,1,15,13,2,0,0,16,0.0,135,37,98,43,4,35,0,4,3,1,20,0,9,0,308,826,2241,64.0,3.754796858827724e-05
828,KASARGOD,16,27,2,59,0,59,8,0,6,6,1,32,0.0,161,44,117,422,11,223,1,44,55,0,123,4,210,0,93,2497,5016,142.0,9.475110576978868e-05
829,KASGANJ,20,56,16,19,0,19,102,0,0,0,0,7,0.0,192,112,80,41,20,0,0,0,154,29,58,0,21,0,75,233,1232,33.0,5.949060629313012e-05
830,KATHUA,13,22,1,18,0,18,36,0,0,0,0,0,0.0,69,32,37,39,8,18,0,11,12,1,43,15,21,0,58,456,1289,58.0,2.7315072332858272e-05
831,KATIHAR,70,60,0,65,0,65,144,103,40,16,2,33,0.0,447,261,186,238,11,71,0,4,169,14,0,0,59,0,93,1668,3415,84.0,0.0001646879304019
832,KATIHAR RAILWAY,10,9,0,0,0,0,3,1,0,1,0,8,0.0,182,35,147,4,2,4,0,1,4,0,11,0,0,0,6,61,313,4.0,3.46992983029329e-05
833,KATNI,35,24,6,93,0,93,192,2,72,1,5,15,0.0,161,75,86,8,7,35,2,12,153,18,178,4,65,0,271,1872,3670,174.0,8.568984003495488e-05
834,KAUSHAMBI,40,11,13,14,10,4,92,81,10,0,0,13,0.0,154,82,72,23,34,74,0,5,123,27,120,0,86,0,141,756,1945,56.0,6.675668464768354e-05
835,KENDRAPARA,34,40,0,48,0,48,88,81,0,7,4,36,0.0,107,39,68,47,6,56,0,24,156,32,154,19,217,0,66,992,2244,97.0,6.553582595396454e-05
836,KEONJHAR,75,103,0,103,0,103,107,35,72,19,0,46,0.0,218,83,135,51,50,60,2,18,256,11,293,14,65,0,228,213,2571,112.0,0.000111751234892
837,KHAGARIA,52,94,4,14,0,14,118,92,0,10,0,19,0.0,165,39,126,172,3,72,0,19,136,17,2,0,19,0,74,1452,2589,31.0,8.46199477388463e-05
838,KHAMMAM,76,85,7,102,0,102,73,15,58,1,0,15,0.0,746,278,468,94,40,845,1,16,50,18,351,133,530,0,482,3566,11022,432.0,0.0002486186837168
839,KHANDWA,31,33,0,84,0,84,127,100,26,3,4,17,0.0,357,125,232,39,11,53,0,26,49,6,270,17,103,0,122,1759,4011,312.0,0.0001224403122184
840,KHANNA,20,16,5,23,0,23,54,32,22,2,2,8,0.0,261,29,232,0,6,83,1,4,125,3,34,0,38,0,96,155,1132,107.0,7.005825412585914e-05
841,KHARAGPUR G. R. P.,7,0,0,0,0,0,3,1,1,0,0,2,0.0,155,1,154,2,1,3,0,0,1,0,6,0,0,0,3,23,213,0.0,2.76465420319594e-05
842,KHARGONE,42,29,4,118,0,118,126,0,126,0,0,18,0.0,425,161,264,23,6,27,0,12,125,43,247,0,74,0,310,2596,4533,195.0,0.0001359222679007
843,KHASI HILLS EAST,24,20,3,14,0,14,23,1,0,7,0,53,0.0,399,43,356,0,30,111,5,12,60,0,45,35,26,0,40,292,1327,35.0,9.08259794319179e-05
844,KHASI HILLS SOUTH WEST,4,1,0,12,0,12,0,0,0,3,0,1,0.0,15,3,12,0,1,1,0,0,3,1,0,7,0,0,1,8,60,0.0,6.301206161130348e-06
845,KHASI HILLS WEST,11,7,0,19,0,19,9,0,9,4,0,3,0.0,50,1,49,0,1,8,0,0,12,0,4,0,0,0,3,115,271,18.0,1.7065766686394693e-05
846,KHEDA,22,21,0,12,0,12,80,9,3,9,0,5,0.0,173,84,89,34,30,25,0,3,115,0,29,0,86,0,242,1901,3614,56.0,5.3586507395279335e-05
847,KHIRI,79,100,20,49,0,49,214,152,0,5,0,33,0.0,611,423,188,68,38,118,0,4,281,51,107,0,135,0,263,1011,3465,67.0,0.0001979005378762
848,KHUNTI,84,12,1,7,0,7,16,5,1,1,0,19,0.0,38,14,24,36,1,5,0,4,3,2,3,0,11,0,41,58,419,2.0,2.9280917380002588e-05
849,KHURDA,40,45,0,39,0,39,103,20,26,17,0,63,0.0,197,66,131,48,33,65,0,17,15,22,103,21,37,0,133,1035,2291,86.0,8.072107642664689e-05
850,KINNAUR,2,0,0,10,0,10,5,0,0,0,0,1,0.0,11,1,10,6,4,2,0,0,12,0,5,1,3,0,27,51,211,40.0,5.7990787951652734e-06
851,KIPHIRE,1,2,0,1,0,1,0,0,0,0,0,0,0.0,2,0,2,0,0,3,0,0,1,0,0,0,0,0,0,1,13,0.0,9.845634626766168e-07
852,KISHANGANJ,46,6,1,64,0,64,122,101,0,7,2,12,0.0,261,117,144,171,4,75,0,13,298,12,22,0,85,0,24,636,1982,52.0,0.0001115576040776
853,KISHTWAR,0,7,0,6,0,6,18,0,0,0,0,0,0.0,21,3,18,2,1,6,0,4,0,0,23,0,9,0,1,187,388,29.0,7.512219220222587e-06
854,KODAGU,33,33,1,25,0,25,36,0,36,1,0,9,0.0,128,28,100,32,5,80,0,8,13,1,60,5,40,0,63,684,1824,99.0,4.866697196010517e-05
855,KODERMA,25,6,0,15,0,15,41,13,19,11,0,11,0.0,125,32,93,78,0,60,0,0,0,16,0,0,39,0,58,747,1344,33.0,4.691773087474971e-05
856,KOHIMA,3,6,0,9,0,9,5,0,4,0,0,6,0.0,75,45,30,0,0,11,0,0,0,0,0,0,0,0,7,31,199,12.0,1.85097930983204e-05
857,KOKRAJHAR,60,21,0,45,0,45,106,79,27,5,0,7,0.0,229,19,210,10,3,35,4,35,80,3,47,0,71,1,82,504,1419,46.0,8.455102829645894e-05
858,KOLAR,35,67,3,32,0,32,18,3,15,2,1,42,0.0,184,95,89,220,3,80,1,9,10,8,67,0,21,0,234,486,2188,61.0,7.668764810788169e-05
859,KOLASIB,1,1,0,10,0,10,2,0,0,5,0,0,0.0,136,13,123,0,5,2,0,1,6,0,10,0,1,0,0,22,263,42.0,2.5976066023618074e-05
860,KOLHAPUR,64,68,3,84,0,84,70,29,28,18,3,236,0.0,883,403,480,273,69,317,7,22,111,8,176,7,150,0,317,883,4942,363.0,0.0002668331077764
861,KOLKATA,83,102,27,154,0,154,423,132,138,4,19,33,0.0,4623,759,3864,316,384,2027,24,0,917,12,585,288,1156,3,470,10287,26668,66.0,0.0010827572586875
862,KOLLAM COMMR.,10,34,4,78,0,78,13,8,5,2,0,63,0.0,143,65,78,301,9,187,2,13,132,1,287,13,296,0,181,5954,9314,95.0,8.86960404743275e-05
863,KOLLAM RURAL,28,35,4,81,0,81,19,15,4,2,0,32,0.0,161,35,126,293,5,192,0,16,107,2,240,7,276,0,123,4927,7910,194.0,9.25358379787663e-05
864,KONDAGAON,33,19,1,21,0,21,20,12,8,2,0,2,0.0,33,22,11,17,0,5,0,7,187,1,16,0,8,0,87,51,782,37.0,2.267449654544249e-05
865,KOPPAL,26,12,0,28,0,28,31,0,31,5,0,12,0.0,188,85,103,175,4,111,1,4,183,4,34,0,50,0,171,159,1883,58.0,7.115768332584802e-05
866,KORAPUT,71,48,0,94,0,94,73,22,13,15,0,37,0.0,99,33,66,61,5,30,0,6,15,4,152,5,46,0,122,204,1357,105.0,7.286425999448749e-05
867,KORBA,37,12,3,68,0,68,53,11,42,4,0,22,0.0,240,96,144,33,13,35,1,11,46,6,83,4,51,0,194,929,2572,161.0,8.123633130544765e-05
868,KORIYA,40,26,1,58,0,58,85,12,0,0,0,7,0.0,91,16,75,28,1,22,0,5,708,2,74,1,59,0,80,339,1707,80.0,5.005192456427028e-05
869,KOTA CITY,19,93,1,100,0,100,187,102,49,1,4,27,0.0,890,615,275,0,9,917,2,1,28,3,102,0,538,0,119,1326,5248,135.0,0.0002920182411516
870,KOTA RURAL,19,14,3,60,0,60,87,75,12,0,1,13,0.0,157,80,77,0,6,271,2,12,111,2,186,0,271,0,104,879,2557,65.0,8.312669315378677e-05
871,KOTTAYAM,17,32,11,75,0,75,14,8,5,6,10,38,0.0,235,72,163,186,12,240,0,17,108,0,204,19,182,0,199,3631,17769,169.0,9.854495697930258e-05
872,KOWAI,10,2,0,15,0,15,5,4,0,0,0,0,0.0,30,3,27,4,7,6,0,1,83,8,36,0,25,0,17,27,338,18.0,1.2152795007638377e-05
873,KOZHIKODE COMMR.,8,13,2,35,0,35,2,0,1,0,1,52,0.0,282,165,117,220,34,259,9,9,31,1,107,9,184,0,141,1054,4665,183.0,0.000101305016553
874,KOZHIKODE RURAL,9,54,3,52,0,52,10,3,6,2,2,36,0.0,203,96,107,408,6,347,3,63,42,0,226,5,307,0,199,969,5391,196.0,0.0001093259268956
875,KRISHNA,51,47,1,80,0,80,41,19,2,0,0,15,0.0,521,141,380,9,24,242,11,23,39,8,354,232,613,0,418,3942,7078,302.0,0.0001445175069298
876,KRISHNAGIRI,59,55,4,13,0,13,73,67,6,7,7,53,0.0,301,84,217,141,0,74,1,13,28,4,34,1,29,0,524,2168,5095,174.0,0.0001021123585924
877,KUKUNG KUMEY,4,1,0,3,1,2,2,0,2,0,0,0,0.0,5,1,4,1,1,0,0,1,10,0,1,0,0,0,0,13,49,5.0,2.69770388773393e-06
878,KULGAM,4,9,0,7,0,7,44,0,0,0,0,12,0.0,48,7,41,78,4,12,0,7,110,0,171,13,0,0,21,99,856,39.0,2.259901334663728e-05
879,KULLU,9,4,0,16,0,16,24,0,24,0,0,0,0.0,49,23,26,26,5,26,0,5,66,0,35,0,21,0,52,405,914,55.0,2.184746323679413e-05
880,KUPWARA,7,25,0,8,0,8,42,0,42,0,0,0,0.0,34,0,34,159,4,7,0,4,7,0,61,12,8,0,8,184,710,34.0,2.8414501532847163e-05
881,KURNOOL,118,135,5,32,0,32,53,16,32,3,0,28,0.0,563,9,554,108,20,639,4,33,9,12,403,251,362,0,506,3522,8398,244.0,0.0001864730379527
882,KURUKSHETRA,30,15,3,35,0,35,61,57,0,4,2,21,0.0,631,465,166,0,13,113,0,2,145,6,59,7,100,0,195,561,2581,261.0,0.0001549046514611
883,KUSHI NAGAR,36,12,29,22,0,22,141,88,48,0,0,7,0.0,136,76,60,119,38,63,1,6,261,31,53,0,50,0,204,330,1757,40.0,7.902762727084311e-05
884,LAHAUL-SPITI,10,1,0,11,0,11,4,4,0,0,0,3,23.0,31,2,29,14,9,4,0,5,22,0,5,3,11,0,118,635,909,0.0,1.4056284368813167e-05
885,LAKHIMPUR,470,206,41,793,0,793,1372,1209,163,69,0,217,865.0,2720,261,2459,737,210,556,28,200,4550,18,557,0,1884,0,1318,6835,23749,103.0,0.0011993952102326
886,LAKHISARAI,638,720,29,165,0,165,500,215,285,94,12,280,342.0,1236,155,1081,1212,139,328,1,89,2255,135,123,7,287,0,589,4678,13883,24.0,0.0006380988620389
887,LAKSHADWEEP,3,6,0,9,0,9,1,1,0,3,0,0,36.0,121,11,110,155,2,1,1,23,62,0,6,0,7,0,0,345,783,2.0,3.766611620379844e-05
888,LALITPUR,247,106,144,132,0,132,171,138,33,20,1,67,247.0,615,194,421,251,142,278,6,29,626,112,267,203,255,0,597,2900,7433,17.0,0.0002891137789367
889,LATEHAR,544,201,30,189,0,189,191,104,87,293,26,196,209.0,840,99,741,414,50,82,2,47,487,45,61,0,73,0,475,2311,6773,7.0,0.0003997557389941
890,LATUR,785,487,22,268,0,268,340,338,2,161,37,550,2456.0,5054,1613,3441,2772,222,1039,33,438,10867,391,817,28,2035,0,2533,12550,44149,264.0,0.0016974202284365
891,LAWNGTLAI,43,15,2,43,0,43,6,1,5,4,0,7,231.0,439,23,416,6,18,48,8,8,88,2,38,1,0,0,24,676,1725,18.0,0.0001159914215379
892,LEH,27,19,2,37,0,37,28,26,2,0,0,3,146.0,94,12,82,56,36,42,2,0,14,0,47,3,1,0,0,1758,2324,9.0,5.622185559704375e-05
893,LOHARDAGGA,468,149,28,295,0,295,206,96,110,86,12,235,212.0,801,176,625,344,85,217,13,53,524,12,76,0,245,0,328,2231,6630,10.0,0.0004101494472818
894,LOHIT,158,33,1,60,0,60,125,89,36,29,0,74,206.0,448,46,402,20,29,26,4,23,410,0,79,0,7,0,120,614,2484,18.0,0.0001695188551254
895,LONGDING,2,1,0,1,0,1,3,2,1,0,0,0,0.0,11,0,11,0,0,1,0,0,23,0,2,0,0,0,2,26,78,6.0,3.052146734297512e-06
896,LONGLENG,3,11,2,1,0,1,2,1,1,0,0,1,2.0,19,1,18,1,0,4,0,0,5,0,0,0,0,0,0,46,98,1.0,5.2247501086039135e-06
897,LUCKNOW,1961,1692,445,765,0,765,3295,2953,342,197,29,1601,6663.0,31429,16602,14827,3074,4512,8808,282,71,831,644,1762,1829,6518,0,5546,49453,131960,553.0,0.008677555098403
898,LUDHIANA,603,676,92,398,0,398,865,576,289,25,173,132,2212.0,5320,2813,2507,0,327,3176,43,61,2516,90,386,427,1105,0,2299,12387,33313,0.0,0.0017818334178482
899,LUDHIANA RURAL,104,114,17,66,0,66,139,97,42,2,30,13,231.0,561,191,370,0,40,362,8,1,537,14,34,9,135,0,411,1409,4309,72.0,0.0002105193595895
900,LUNGLEI,45,32,5,119,0,119,10,0,10,4,0,15,673.0,1455,45,1410,6,37,78,7,34,125,0,120,1,0,0,20,493,3308,29.0,0.0003421883133314
901,LAHAUL & SPITI,2,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,7,61,84,1.0,5.907380776059701e-07
902,LAKHIMPUR,40,0,0,67,0,67,150,150,0,1,0,7,0.0,236,70,166,37,39,115,0,6,35,4,55,0,369,0,82,1396,2872,137.0,0.0001077243703296
903,LAKHISARAI,46,97,6,10,0,10,66,35,20,6,1,20,0.0,181,52,129,193,47,39,0,10,60,8,63,1,29,0,94,585,1728,21.0,7.707819161474341e-05
904,LAKSHADWEEP,0,0,0,1,0,1,0,0,0,0,0,0,0.0,15,0,15,9,2,0,0,5,1,0,1,2,0,0,0,30,81,10.0,3.4394083629503147e-06
905,LALITPUR,27,7,9,25,6,19,34,27,6,0,0,15,0.0,59,22,37,26,11,42,2,0,10,12,38,0,19,0,58,477,962,12.0,3.444659368084591e-05
906,LATEHAR,41,11,0,25,0,25,37,0,0,6,0,9,0.0,107,16,91,46,14,18,0,0,0,8,0,0,17,0,54,379,859,15.0,4.0685444156006734e-05
907,LATUR,74,61,1,57,0,57,84,84,0,31,3,79,0.0,549,220,329,246,14,125,2,54,42,4,174,2,323,0,256,1215,4070,231.0,0.0001769785642943
908,LAWNGTLAI,6,1,0,9,0,9,0,0,0,0,0,0,0.0,26,2,24,0,2,1,1,0,10,0,5,0,0,0,4,13,98,15.0,7.653339983206235e-06
909,LEH,1,0,0,6,0,6,1,0,1,0,0,0,0.0,8,2,6,4,0,10,0,0,2,0,3,0,0,0,0,124,166,7.0,4.030146440556285e-06
910,LOHARDAGGA,40,14,0,43,0,43,32,19,12,3,0,13,0.0,75,19,56,5,7,25,0,4,0,2,5,0,24,0,42,119,536,25.0,3.946458546228773e-05
911,LOHIT,10,4,0,7,0,7,25,0,25,1,0,8,0.0,39,6,33,3,2,5,1,2,16,0,13,0,1,0,16,89,280,32.0,1.548390138969426e-05
912,LONGDING,4,3,1,3,3,0,9,4,0,1,0,1,0.0,5,1,4,0,0,0,0,0,13,0,3,0,0,0,2,29,92,9.0,3.823388113394196e-06
913,LONGLENG,0,2,1,1,0,1,0,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0.0,6.39966250739801e-07
914,LOWER DIBANG VALLEY,2,5,0,3,0,3,4,0,0,1,0,1,0.0,21,0,21,0,0,2,0,0,10,0,0,0,0,0,4,5,75,10.0,5.2674145253199004e-06
915,LUCKNOW,132,99,28,68,0,68,377,90,6,7,0,60,0.0,3192,2086,1106,174,511,923,7,14,34,52,392,0,1083,0,533,5877,15107,623.0,0.0007850482407216
916,LUDHIANA RURAL,16,20,5,14,0,14,56,37,19,0,3,4,0.0,162,48,114,0,10,107,0,1,45,3,22,0,30,0,61,355,1081,102.0,5.37899838442325e-05
917,LUNGLEI,8,4,2,14,0,14,0,0,0,1,0,0,0.0,52,2,50,0,1,3,2,0,7,0,13,0,0,0,8,13,175,39.0,1.3714969035085272e-05
918,MADHEPURA,682,447,56,188,0,188,591,381,210,157,11,467,310.0,1623,346,1277,2313,224,347,3,107,2853,143,55,2,250,4,475,8868,20217,41.0,0.0008347522861957
919,MADHUBANI,885,955,199,475,0,475,1234,843,391,375,42,344,1097.0,3601,572,3029,4163,224,433,10,168,10842,354,733,0,1326,1,1161,18033,46745,90.0,0.0016166564875932
920,MADURAI RURAL,771,1102,8,277,0,277,681,542,139,77,57,876,1511.0,4972,1016,3956,2114,174,2038,20,285,11862,109,825,132,1023,0,5051,33652,67930,313.0,0.0017126251701785
921,MADURAI URBAN,386,600,3,86,0,86,351,227,124,39,20,509,1156.0,6660,2258,4402,590,116,2317,177,82,2177,81,260,394,678,0,1521,21487,39747,57.0,0.0016909516464867
922,MAHABOOBNAGAR,2362,1022,302,981,0,981,960,800,160,98,0,365,3014.0,10250,233,10017,1395,350,2043,79,706,22242,343,2280,566,2985,0,7652,19641,80030,394.0,0.0030761799284214
923,MAHARAJGANJ,380,174,179,221,0,221,469,442,27,21,4,120,338.0,666,231,435,431,229,699,48,34,1103,178,199,228,340,0,1166,4190,11442,25.0,0.0004676282622328
924,MAHASAMUND,274,169,19,408,0,408,244,219,25,20,5,130,1527.0,2258,603,1655,333,57,314,21,101,2290,56,833,63,313,0,1556,10217,21371,163.0,0.0007715958219432
925,MAHENDRAGARH,354,167,20,226,0,226,347,268,79,72,15,139,1226.0,2801,1301,1500,930,350,154,4,125,1890,116,317,48,677,0,169,10249,20578,182.0,0.0008983911865449
926,MAHOBA,416,202,134,136,0,136,259,215,44,23,0,131,363.0,679,219,460,210,135,265,7,43,337,162,325,80,178,0,514,2913,7556,44.0,0.0003610197304942
927,MAINPURI,1300,1345,252,177,0,177,1010,751,259,179,8,564,604.0,2818,1500,1318,845,415,900,30,82,2584,468,414,76,560,0,1384,8349,24472,108.0,0.0012615211647275
928,MAJITHA,216,159,33,66,0,66,91,70,21,2,12,17,178.0,318,65,253,0,39,398,15,14,869,32,50,3,125,0,490,1024,4151,0.0,0.0001750389742728
929,MALAPPURAM,280,351,124,790,0,790,181,84,97,96,94,403,3618.0,4665,2055,2610,8333,277,3888,61,320,11480,13,1957,232,6973,0,20,71637,116079,286.0,0.0023218894502738
930,MALDA,998,1581,338,1471,0,1471,1520,1131,389,72,251,220,143.0,4494,1510,2984,718,69,576,406,58,3520,100,1382,19,4818,0,799,17057,40623,13.0,0.0018222070835744
931,MALKANGIR,495,380,23,182,0,182,132,108,24,111,0,65,219.0,535,63,472,374,74,155,2,78,468,26,374,42,151,0,242,1669,5819,22.0,0.000320629655377
932,MAMIT,33,17,6,52,1,51,11,0,11,10,0,22,191.0,268,1,267,2,7,17,8,25,95,0,34,0,15,2,23,182,1036,16.0,8.383557884691392e-05
933,MANDI,161,100,7,292,0,292,212,176,36,3,0,23,1040.0,1036,277,759,833,160,410,4,320,2008,5,791,97,504,0,825,14931,23881,119.0,0.0005019763995674
934,MANDLA,392,196,14,732,0,732,91,86,5,5,3,80,1098.0,923,215,708,147,26,198,1,71,4195,47,1266,146,395,0,903,13550,24542,63.0,0.0005388056368279
935,MANDSAUR,410,471,2,595,0,595,282,189,93,28,27,384,1967.0,4679,1435,3244,557,340,387,25,249,3479,84,1579,160,893,12,1299,23419,41444,116.0,0.0013696721792243
936,MANDYA,806,760,17,287,0,287,326,246,80,81,16,474,2710.0,5055,1844,3211,3660,118,671,30,217,14148,150,1136,7,1514,1,0,30264,62669,221.0,0.0017602517867463
937,MANGALORE CITY,75,70,0,48,0,48,36,14,22,10,3,166,247.0,712,395,317,331,10,470,14,18,721,2,110,8,156,3,55,4743,8172,164.0,0.0002526882126959
938,MANSA,334,365,85,189,0,189,127,81,46,10,26,17,533.0,685,254,431,0,119,708,11,23,1896,48,89,4,201,0,195,2705,8427,57.0,0.0003574523288811
939,MATHURA,1294,1554,235,372,0,372,1079,828,251,93,3,726,903.0,7595,4695,2900,1483,1001,2611,74,105,2026,351,708,436,2038,0,4428,15332,44574,127.0,0.0024408279984433
940,MAU,434,634,181,158,0,158,553,494,59,16,3,268,718.0,1621,655,966,1042,294,729,29,72,1697,142,318,333,629,0,1037,3103,14083,72.0,0.0007551175114562
941,MAYURBHANJ,1106,741,16,1113,0,1113,694,633,61,125,22,450,1301.0,2969,466,2503,373,223,519,16,207,1936,304,2427,136,1479,0,1737,12331,30363,138.0,0.0013316319289047
942,MEDAK,1588,741,144,602,0,602,683,528,155,120,0,323,3440.0,7048,1559,5489,886,263,2682,77,703,23342,408,1464,726,4028,0,7668,11631,68981,414.0,0.0023425259004515
943,MEERUT,2636,2615,269,651,0,651,2439,1798,641,165,42,2127,2255.0,18482,11102,7380,2236,1214,3464,170,48,712,441,1108,1191,3955,0,3597,20270,70370,283.0,0.0053867665901437
944,MEHSANA,401,299,10,103,0,103,800,709,91,207,12,529,2565.0,7981,2261,5720,1166,564,745,90,225,9630,15,390,11,2958,0,2295,33921,65093,176.0,0.0020782395301652
945,METRO RAIL,1,1,0,0,0,0,8,4,4,0,0,2,0.0,875,19,856,2,4,11,0,0,1,1,16,12,2,0,1,21,962,4.0,0.0001471397276188
946,MEWAT,199,329,17,332,0,332,237,140,97,108,180,137,300.0,2882,1938,944,1063,136,497,9,41,992,67,153,57,1319,0,173,6824,16111,59.0,0.0008702359533906
947,MIDNAPUR,120,20,44,84,0,84,74,74,0,16,33,59,39.0,581,108,473,363,38,27,1,23,63,58,54,1,470,0,9,2440,4617,0.0,0.0001956918338416
948,MIRZAPUR,476,262,161,115,0,115,153,102,51,40,3,148,474.0,1250,396,854,160,310,646,9,7,1486,277,130,87,767,0,1106,4204,12289,18.0,0.0004864170149789
949,MOGA,390,485,69,181,0,181,276,179,97,24,38,69,991.0,1648,664,984,4,273,1448,29,34,2828,52,173,9,285,0,1009,3014,13415,86.0,0.0006700643557938
950,MOKOKCHUNG,99,37,20,15,0,15,32,1,31,6,0,39,82.0,182,47,135,13,2,31,2,16,72,0,5,3,0,0,54,214,928,4.0,7.128239469778707e-05
951,MON,92,38,11,14,0,14,15,6,9,19,0,37,64.0,216,21,195,3,11,23,3,5,69,0,3,0,0,0,29,169,821,0.0,7.002543534376991e-05
952,MORADABAD,1907,1644,367,704,0,704,1773,1518,255,157,51,922,1474.0,8411,3758,4653,1025,726,2029,79,40,1132,422,1002,1015,2857,0,2353,17770,47960,100.0,0.002857541202143
953,MORENA,766,1293,37,510,0,510,413,287,126,130,97,733,2625.0,5741,2284,3457,1841,36,413,6,154,20310,389,1146,36,933,0,1930,26168,65876,169.0,0.0018332046574525
954,MORIGAON,274,138,27,734,0,734,875,849,26,65,6,101,658.0,1353,166,1187,1053,108,440,22,69,3176,45,555,9,1160,0,744,3568,15254,74.0,0.0008080148244276
955,MOTIHARI,1625,3835,294,398,0,398,1972,1226,746,395,40,813,1665.0,5752,1044,4708,6162,895,1414,52,367,13071,656,156,31,969,13,1176,27208,69194,235.0,0.0026552790481271
956,MUKTSAR,290,366,44,167,0,167,233,161,72,10,25,34,734.0,1181,439,742,1,168,689,19,19,1807,44,108,4,268,0,714,2114,9110,71.0,0.0004729678780788
957,MUMBAI,1254,712,33,776,0,776,793,393,400,213,315,1600,14163.0,54936,15820,39116,944,2173,6694,584,38,18382,66,1516,305,1195,0,3487,31636,141815,0.0,0.0120689298918875
958,MUMBAI COMMR.,1712,1253,41,1777,0,1777,1715,1155,560,267,300,5966,19916.0,95926,32157,63769,2749,4268,15711,756,265,32275,127,4363,1415,3338,1,5528,54905,257510,2936.0,0.0215118583711497
959,MUMBAI RLY.,101,52,12,37,0,37,63,36,27,24,19,1337,36.0,23442,10,23432,129,134,473,20,0,536,3,177,34,0,0,24,1219,27878,6.0,0.0040491911798026
960,MUNGELI,45,11,0,29,0,29,74,74,0,0,0,15,83.0,171,33,138,76,6,21,1,23,91,6,68,6,49,0,92,1278,2231,86.0,7.461021920163401e-05
961,MUNGER,944,851,16,162,0,162,768,407,361,136,12,485,532.0,2799,531,2268,2288,277,596,17,113,3277,141,61,0,542,0,569,10270,24911,55.0,0.00115097109726
962,MURSHIDABAD,1812,3279,514,3567,0,3567,3339,2860,479,158,799,413,114.0,8766,1896,6870,3452,421,1239,360,302,22380,419,3894,40,19168,0,3587,19970,97999,6.0,0.0039003612849062
963,MUZAFFARNAGAR,2671,2285,354,499,0,499,2036,1459,577,463,29,1248,1147.0,7351,3285,4066,1788,838,2090,74,40,448,367,645,804,2816,0,1926,18058,48037,60.0,0.0028801894436628
964,MUZAFFARPUR,1987,1074,216,831,0,831,2714,1339,1375,555,64,1234,2498.0,12381,3563,8818,5637,1049,2018,256,416,9033,894,225,27,1396,14,3011,30451,78273,292.0,0.0041537944839556
