,DISTRICT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Criminal Trespass/Burglary,Crime Index
467,FIROZABAD,140,162,31,61,0,61,284,245,0,8,0,92,0.0,687,453,234,201,62,175,0,19,347,55,131,0,146,0,322,756,4222,112.0,0.0002633772900224
468,G. R. P.,77,21,8,8,0,8,57,11,22,19,27,60,0.0,4720,236,4484,26,14,39,2,0,33,9,86,1,0,0,22,1695,7006,8.0,0.0008184708884012
469,G. R. P. RAIPUR,2,0,0,0,0,0,5,0,0,0,0,9,0.0,290,4,286,2,2,1,0,0,6,1,8,0,4,0,1,61,400,5.0,4.958589785860335e-05
470,G.R.P,115,37,16,9,0,9,9,3,6,3,28,13,5.0,581,91,490,16,11,186,32,3,167,25,27,0,0,0,0,3616,4901,2.0,0.0001419937425872
471,G.R.P.,443,243,66,56,0,56,243,124,119,266,39,905,100.0,33064,1262,31802,453,380,629,49,20,274,25,446,340,33,0,79,15427,53583,3.0,0.005797598668093
472,G.R.P. AJMER,6,3,0,0,0,0,1,0,1,1,0,5,2.0,386,23,363,2,0,3,0,0,0,3,1,0,0,0,1,203,617,0.0,6.629065794201661e-05
473,G.R.P. JODHPUR,2,1,0,2,0,2,0,0,0,0,0,2,0.0,91,13,78,3,0,0,0,0,1,0,1,2,0,0,0,44,149,0.0,1.6560357442220696e-05
474,G.R.P.(RLY),43,22,4,8,0,8,25,15,10,3,6,49,8.0,5849,80,5769,3,28,93,2,9,49,6,18,2,0,0,4,410,6641,0.0,0.0009899457429392
475,G.R.P.AJMER,14,10,0,7,0,7,23,16,7,6,1,11,1.0,1781,71,1710,9,10,14,1,0,10,2,32,1,0,0,6,377,2317,1.0,0.0003067571561879
476,G.R.P.AJMER,5,8,0,3,0,3,14,1,3,0,0,10,0.0,1118,27,1091,1,3,7,0,0,1,1,5,2,0,0,0,125,1313,0.0,0.000189305298847
477,G.R.P.JODHPUR,9,2,0,1,0,1,4,1,3,0,1,2,1.0,279,28,251,2,1,0,0,1,1,1,12,0,0,0,7,117,441,0.0,4.968435420487101e-05
478,G.R.P.JODHPUR,6,1,0,1,0,1,2,0,1,0,0,0,0.0,143,7,136,0,0,0,1,0,0,0,7,0,0,0,0,37,198,0.0,2.527702596511768e-05
479,GADAG,270,218,7,62,0,62,96,51,45,38,2,82,627.0,897,344,553,1402,70,285,11,47,2053,29,397,2,349,0,898,5632,13513,39.0,0.000426286442435
480,GADCHIROLI,736,543,34,278,0,278,122,100,22,107,5,129,1161.0,1737,243,1494,333,128,162,14,581,2973,14,548,106,524,0,1012,4553,15897,97.0,0.0006726340664314
481,GAJAPATI,173,142,6,122,0,122,102,86,16,19,0,35,247.0,372,67,305,482,41,139,3,160,525,19,505,41,117,0,361,1830,5459,18.0,0.0002153076198963
482,GANDERBAL,140,76,10,79,0,79,428,412,16,7,0,22,420.0,617,81,536,822,44,110,15,111,42,0,747,46,20,0,319,2404,6514,35.0,0.0003445118831033
483,GANDHINAGAR,313,126,4,138,0,138,386,320,66,74,2,359,1626.0,6278,2591,3687,601,198,542,88,101,3387,17,231,46,1852,0,2364,37159,56002,110.0,0.0015420659596608
484,GANGANAGAR,729,1131,12,942,0,942,948,824,124,4,11,146,2379.0,4935,1610,3325,114,473,8800,37,113,12711,212,971,19,7017,0,2074,25257,69222,187.0,0.0022519329343724
485,GANJAM,917,1801,24,494,0,494,435,329,106,200,58,702,1509.0,2085,482,1603,1351,239,401,2,399,3340,273,3078,196,385,0,1374,7352,26724,109.0,0.0010965444290432
486,GARHWA,636,458,43,374,0,374,274,176,98,163,8,342,421.0,931,148,783,1973,178,519,3,189,3434,198,115,2,488,5,441,6017,17254,42.0,0.0006712491138272
487,GARIYABAND,50,44,2,72,0,72,36,26,10,7,0,10,87.0,159,52,107,38,2,49,0,18,560,6,82,14,26,0,142,941,2384,39.0,7.5453661901327e-05
488,GARO HILLS EAST,147,136,16,34,0,34,85,9,76,121,8,84,146.0,386,60,326,42,18,36,6,33,101,0,34,1,0,0,0,520,1959,5.0,0.0001464406875603
489,GARO HILLS NORTH,3,9,0,1,0,1,18,5,13,6,1,4,0.0,17,5,12,1,8,1,0,5,6,0,0,0,1,0,6,25,115,3.0,8.293306233946037e-06
490,GARO HILLS SOUTH,90,62,0,28,0,28,58,11,47,43,1,22,34.0,213,60,153,3,6,19,11,6,49,0,12,0,6,0,18,212,898,5.0,7.884056021293455e-05
491,GARO HILLS SOUTH W.,7,5,2,10,0,10,3,1,2,6,0,1,0.0,9,1,8,0,3,3,1,0,5,0,5,0,0,0,3,20,92,9.0,6.389816872771243e-06
492,GARO HILLS WEST,221,110,31,107,0,107,205,79,126,119,1,92,284.0,1078,278,800,84,30,146,33,69,516,2,167,5,51,0,140,1185,4703,27.0,0.0003428381252168
493,GAUTAMBUDH NAGAR,1040,1007,200,294,0,294,1086,787,299,104,13,1273,1294.0,21926,14336,7590,1142,884,2679,41,18,422,242,528,401,1046,0,2694,12837,51399,228.0,0.0050795466891283
494,GAYA,2230,1314,146,374,0,374,1271,803,468,899,99,1330,1735.0,7401,2000,5401,4884,423,1189,16,440,7274,652,209,0,801,8,2599,20545,56051,212.0,0.0027656879948317
495,GHAZIABAD,2364,2440,474,441,1,440,2686,2030,656,155,67,1239,2237.0,27011,19101,7910,1372,1670,4051,132,54,822,523,767,940,3413,0,5103,22904,81087,222.0,0.0069283829324899
496,GHAZIPUR,608,568,279,92,0,92,352,283,69,64,2,371,576.0,1431,571,860,870,205,625,58,68,1918,315,210,178,645,0,445,3559,13491,52.0,0.0006674224438356
497,GIRIDIH,843,827,26,535,0,535,549,303,246,567,37,443,1140.0,3646,635,3011,3139,202,777,0,149,1564,482,519,58,902,5,1261,15842,33599,86.0,0.0014514368929214
498,GOALPARA,484,197,13,843,0,843,965,835,130,229,5,163,834.0,2053,395,1658,1400,53,469,21,294,1904,42,489,0,2249,4,1008,5760,19664,185.0,0.0010547037637576
499,GODDA,652,544,20,565,0,565,468,210,258,102,7,166,588.0,1704,189,1515,1340,124,194,0,112,1849,76,131,0,397,0,110,11641,20821,31.0,0.0008091798911918
500,GOLAGHAT,798,293,35,698,0,698,1346,1140,206,108,9,413,998.0,3310,502,2808,165,266,497,42,278,4328,15,576,0,1511,0,1672,4085,21541,98.0,0.0013186717918577
